# file	translator	distance-meassure	synset-tolerance	relation-tolerance	similarity-value	computation-time
sample03.txt	google	wu-palmer	0	0	0.612903	1.252
sample03.txt	yandex	wu-palmer	0	0	0.709677	0.92
sample03.txt	google	leacock-chodorow	0	0	0.612903	1.58
sample03.txt	yandex	leacock-chodorow	0	0	0.709677	1.312
sample03.txt	google	jiang-conrath	0	0	0.612903	3.234
sample03.txt	google	lin	0	0	0.612903	3.373
sample03.txt	yandex	lin	0	0	0.709677	3.311
sample03.txt	google	shortest_path	0	0	0.612903	6.646
sample03.txt	yandex	jiang-conrath	0	0	0.709677	6.346
sample03.txt	google	resnik	0	0	0.612903	8.658
sample03.txt	yandex	shortest_path	0	0	0.709677	8.701
sample03.txt	yandex	resnik	0	0	0.709677	8.578
sample03.txt	yandex	sussna	0	0	0.709677	14.481
sample03.txt	google	sussna	0	0	0.612903	15.047
sample03.txt	google	leacock-chodorow	0	0.1	0.612903	0.109
sample03.txt	google	wu-palmer	0	0.1	0.612903	0.171
sample03.txt	google	sussna	0	0.1	0.612903	0.249
sample03.txt	yandex	sussna	0	0.1	0.709677	0.095
sample03.txt	yandex	wu-palmer	0	0.1	0.709677	0.11
sample03.txt	yandex	leacock-chodorow	0	0.1	0.709677	0.344
sample03.txt	google	lin	0	0.1	0.612903	2.568
sample03.txt	google	jiang-conrath	0	0.1	0.612903	2.553
sample03.txt	yandex	lin	0	0.1	0.709677	2.852
sample03.txt	yandex	jiang-conrath	0	0.1	0.709677	3.367
sample03.txt	google	resnik	0	0.1	0.612903	4.944
sample03.txt	google	shortest_path	0	0.1	0.612903	5.914
sample03.txt	yandex	shortest_path	0	0.1	0.709677	6.477
sample03.txt	yandex	resnik	0	0.1	0.709677	6.367
sample03.txt	google	wu-palmer	0	0.2	0.612903	0.187
sample03.txt	google	sussna	0	0.2	0.612903	0.234
sample03.txt	google	leacock-chodorow	0	0.2	0.612903	0.234
sample03.txt	yandex	sussna	0	0.2	0.709677	0.14
sample03.txt	yandex	wu-palmer	0	0.2	0.709677	0.312
sample03.txt	yandex	leacock-chodorow	0	0.2	0.709677	0.265
sample03.txt	google	jiang-conrath	0	0.2	0.612903	2.703
sample03.txt	google	lin	0	0.2	0.612903	3.266
sample03.txt	yandex	lin	0	0.2	0.709677	3.297
sample03.txt	yandex	jiang-conrath	0	0.2	0.709677	4.255
sample03.txt	google	resnik	0	0.2	0.612903	5.589
sample03.txt	yandex	resnik	0	0.2	0.709677	5.935
sample03.txt	google	shortest_path	0	0.2	0.612903	6.371
sample03.txt	yandex	shortest_path	0	0.2	0.709677	6.389
sample03.txt	google	leacock-chodorow	0	0.3	0.612903	0.14
sample03.txt	google	sussna	0	0.3	0.612903	0.327
sample03.txt	yandex	leacock-chodorow	0	0.3	0.709677	0.124
sample03.txt	google	wu-palmer	0	0.3	0.612903	0.327
sample03.txt	yandex	sussna	0	0.3	0.709677	0.265
sample03.txt	yandex	wu-palmer	0	0.3	0.709677	0.249
sample03.txt	google	lin	0	0.3	0.612903	1.655
sample03.txt	google	jiang-conrath	0	0.3	0.612903	2.211
sample03.txt	yandex	jiang-conrath	0	0.3	0.709677	2.924
sample03.txt	yandex	lin	0	0.3	0.709677	2.908
sample03.txt	google	shortest_path	0	0.3	0.612903	5.129
sample03.txt	google	resnik	0	0.3	0.612903	5.708
sample03.txt	yandex	shortest_path	0	0.3	0.709677	6.504
sample03.txt	yandex	resnik	0	0.3	0.709677	6.52
sample03.txt	google	leacock-chodorow	0	0.4	0.612903	0.156
sample03.txt	google	wu-palmer	0	0.4	0.612903	0.312
sample03.txt	google	sussna	0	0.4	0.612903	0.671
sample03.txt	yandex	wu-palmer	0	0.4	0.709677	0.359
sample03.txt	yandex	sussna	0	0.4	0.709677	0.484
sample03.txt	yandex	leacock-chodorow	0	0.4	0.709677	0.328
sample03.txt	google	lin	0	0.4	0.612903	2.966
sample03.txt	yandex	jiang-conrath	0	0.4	0.709677	3.42
sample03.txt	google	shortest_path	0	0.4	0.612903	3.997
sample03.txt	google	jiang-conrath	0	0.4	0.612903	4.377
sample03.txt	yandex	lin	0	0.4	0.709677	4.311
sample03.txt	google	resnik	0	0.4	0.612903	6.179
sample03.txt	yandex	shortest_path	0	0.4	0.709677	6.273
sample03.txt	yandex	resnik	0	0.4	0.709677	6.116
sample03.txt	google	sussna	0	0.5	0.612903	0.14
sample03.txt	google	wu-palmer	0	0.5	0.612903	0.14
sample03.txt	google	leacock-chodorow	0	0.5	0.612903	0.14
sample03.txt	yandex	sussna	0	0.5	0.709677	0.546
sample03.txt	yandex	leacock-chodorow	0	0.5	0.709677	0.406
